Store_Dept_Date,Weekly_Sales
1_96_2012-11-02,7250.991000000001
1_97_2012-11-02,7250.991000000001
1_98_2012-11-02,7250.991000000001
1_99_2012-11-02,7250.991000000001
1_1_2012-11-09,208.80000000000004
1_2_2012-11-09,206.68800000000002
1_3_2012-11-09,208.77599999999998
1_4_2012-11-09,205.608
1_5_2012-11-09,206.66400000000002
1_6_2012-11-09,213.808
1_7_2012-11-09,214.336
1_8_2012-11-09,212.42800000000005
1_9_2012-11-09,214.49200000000002
1_10_2012-11-09,205.38400000000001
1_11_2012-11-09,196.89999999999998
1_12_2012-11-09,193.10799999999995
1_13_2012-11-09,194.7
1_14_2012-11-09,199.188
1_16_2012-11-09,200.08399999999997
1_17_2012-11-09,200.08399999999997
1_18_2012-11-09,201.49199999999996
1_19_2012-11-09,201.724
1_20_2012-11-09,201.724
1_21_2012-11-09,202.076
1_22_2012-11-09,198.896
1_23_2012-11-09,197.30399999999997
1_24_2012-11-09,194.664
1_25_2012-11-09,194.664
1_26_2012-11-09,191.84799999999998
1_27_2012-11-09,193.784
1_28_2012-11-09,188.424
1_29_2012-11-09,189.48
1_30_2012-11-09,193.808
1_31_2012-11-09,193.808
1_32_2012-11-09,193.808
1_33_2012-11-09,193.808
1_34_2012-11-09,193.808
1_35_2012-11-09,193.808
1_36_2012-11-09,193.808
1_37_2012-11-09,193.808
1_38_2012-11-09,193.808
1_40_2012-11-09,193.808
1_41_2012-11-09,193.808
1_42_2012-11-09,193.808
1_44_2012-11-09,193.808
1_46_2012-11-09,193.808
1_48_2012-11-09,193.808
1_49_2012-11-09,193.808
1_52_2012-11-09,193.808
1_55_2012-11-09,193.808
1_56_2012-11-09,193.808
1_58_2012-11-09,193.808
1_59_2012-11-09,193.808
1_60_2012-11-09,193.808
1_67_2012-11-09,193.808
1_71_2012-11-09,193.808
1_72_2012-11-09,193.808
1_74_2012-11-09,193.808
1_79_2012-11-09,193.808
1_80_2012-11-09,193.808
1_81_2012-11-09,193.808
1_82_2012-11-09,193.808
1_83_2012-11-09,193.808
1_85_2012-11-09,193.808
1_87_2012-11-09,193.808
1_90_2012-11-09,193.808
1_91_2012-11-09,193.808
1_92_2012-11-09,193.808
1_93_2012-11-09,193.808
1_94_2012-11-09,193.808
1_95_2012-11-09,193.808
1_96_2012-11-09,193.808
1_97_2012-11-09,193.808
1_98_2012-11-09,193.808
1_99_2012-11-09,193.808
1_1_2012-11-16,1060.4862000000003
1_2_2012-11-16,1026.5080000000003
1_3_2012-11-16,1016.9054000000001
1_4_2012-11-16,1016.9054000000001
1_5_2012-11-16,1030.1870000000001
1_6_2012-11-16,1031.739
1_7_2012-11-16,1031.739
1_8_2012-11-16,1029.8936
1_9_2012-11-16,1037.5812
1_10_2012-11-16,1037.5812
1_11_2012-11-16,1046.4096
1_12_2012-11-16,1042.7044
1_13_2012-11-16,1042.7044
1_14_2012-11-16,1041.0972
1_16_2012-11-16,1033.3418000000001
1_17_2012-11-16,1030.534
1_18_2012-11-16,1030.534
1_19_2012-11-16,1027.563
1_20_2012-11-16,1020.5598000000001
1_21_2012-11-16,1015.3988
1_22_2012-11-16,1015.3988
1_23_2012-11-16,1017.3778000000001
1_24_2012-11-16,1023.5784000000001
1_25_2012-11-16,1026.8690000000001
1_26_2012-11-16,1027.8894000000003
1_27_2012-11-16,1025.1402
1_28_2012-11-16,1025.1402
1_29_2012-11-16,1025.1402
1_30_2012-11-16,1025.1402
1_31_2012-11-16,1025.1402
1_32_2012-11-16,1025.1402
1_33_2012-11-16,1025.1402
1_34_2012-11-16,1025.1402
1_35_2012-11-16,1025.1402
1_36_2012-11-16,1025.1402
1_37_2012-11-16,1025.1402
1_38_2012-11-16,1025.1402
1_40_2012-11-16,1025.1402
1_41_2012-11-16,1025.1402
1_42_2012-11-16,1025.1402
1_44_2012-11-16,1025.1402
1_46_2012-11-16,1025.1402
1_48_2012-11-16,1025.1402
1_49_2012-11-16,1025.1402
1_52_2012-11-16,1025.1402
1_54_2012-11-16,1025.1402
1_55_2012-11-16,1025.1402
1_56_2012-11-16,1025.1402
1_58_2012-11-16,1025.1402
1_59_2012-11-16,1025.1402
1_60_2012-11-16,1025.1402
1_67_2012-11-16,1025.1402
1_71_2012-11-16,1025.1402
1_72_2012-11-16,1025.1402
1_74_2012-11-16,1025.1402
1_79_2012-11-16,1025.1402
1_80_2012-11-16,1025.1402
1_81_2012-11-16,1025.1402
1_82_2012-11-16,1025.1402
1_83_2012-11-16,1025.1402
1_85_2012-11-16,1025.1402
1_87_2012-11-16,1025.1402
1_90_2012-11-16,1025.1402
1_91_2012-11-16,1025.1402
1_92_2012-11-16,1025.1402
1_93_2012-11-16,1025.1402
1_94_2012-11-16,1025.1402
1_95_2012-11-16,1025.1402
1_96_2012-11-16,1025.1402
1_97_2012-11-16,1025.1402
1_98_2012-11-16,1025.1402
1_1_2012-11-23,315.1332
1_2_2012-11-23,315.1332
1_3_2012-11-23,315.1332
1_4_2012-11-23,315.1332
1_5_2012-11-23,315.1332
1_6_2012-11-23,307.3429999999999
1_7_2012-11-23,313.56979999999993
1_8_2012-11-23,313.56979999999993
1_9_2012-11-23,313.56979999999993
1_10_2012-11-23,318.23439999999994
1_11_2012-11-23,319.39439999999996
1_12_2012-11-23,319.39439999999996
1_13_2012-11-23,322.0573999999999
1_14_2012-11-23,330.8213999999999
1_16_2012-11-23,330.8213999999999
1_17_2012-11-23,340.7081999999999
1_18_2012-11-23,362.89799999999997
1_19_2012-11-23,362.89799999999997
1_20_2012-11-23,362.89799999999997
1_21_2012-11-23,373.60079999999994
1_22_2012-11-23,373.60079999999994
1_23_2012-11-23,373.60079999999994
1_24_2012-11-23,384.4211999999999
1_25_2012-11-23,469.6815999999997
1_26_2012-11-23,469.6815999999997
1_27_2012-11-23,469.6815999999997
1_28_2012-11-23,469.6815999999997
1_29_2012-11-23,469.6815999999997
1_30_2012-11-23,469.6815999999997
1_31_2012-11-23,469.6815999999997
1_32_2012-11-23,469.6815999999997
1_33_2012-11-23,469.6815999999997
1_34_2012-11-23,469.6815999999997
1_35_2012-11-23,469.6815999999997
1_36_2012-11-23,469.6815999999997
1_37_2012-11-23,469.6815999999997
1_38_2012-11-23,469.6815999999997
1_40_2012-11-23,469.6815999999997
1_41_2012-11-23,469.6815999999997
1_42_2012-11-23,469.6815999999997
1_44_2012-11-23,469.6815999999997
1_46_2012-11-23,469.6815999999997
1_48_2012-11-23,469.6815999999997
1_49_2012-11-23,469.6815999999997
1_52_2012-11-23,469.6815999999997
1_54_2012-11-23,469.6815999999997
1_55_2012-11-23,469.6815999999997
1_56_2012-11-23,469.6815999999997
1_58_2012-11-23,469.6815999999997
1_59_2012-11-23,469.6815999999997
1_60_2012-11-23,469.6815999999997
1_67_2012-11-23,469.6815999999997
1_71_2012-11-23,469.6815999999997
1_72_2012-11-23,469.6815999999997
1_74_2012-11-23,469.6815999999997
1_79_2012-11-23,469.6815999999997
1_80_2012-11-23,469.6815999999997
1_81_2012-11-23,469.6815999999997
1_82_2012-11-23,469.6815999999997
1_83_2012-11-23,469.6815999999997
1_85_2012-11-23,469.6815999999997
1_87_2012-11-23,469.6815999999997
1_90_2012-11-23,469.6815999999997
1_91_2012-11-23,469.6815999999997
1_92_2012-11-23,469.6815999999997
1_93_2012-11-23,469.6815999999997
1_94_2012-11-23,469.6815999999997
1_95_2012-11-23,469.6815999999997
1_96_2012-11-23,469.6815999999997
1_97_2012-11-23,469.6815999999997
1_98_2012-11-23,469.6815999999997
1_99_2012-11-23,469.6815999999997
1_1_2012-11-30,825.9082
1_2_2012-11-30,791.9299999999998
1_3_2012-11-30,782.3273999999999
1_4_2012-11-30,782.3273999999999
1_5_2012-11-30,795.6089999999998
1_6_2012-11-30,797.1609999999997
1_7_2012-11-30,786.8203999999998
1_8_2012-11-30,784.9749999999999
1_9_2012-11-30,792.6625999999998
1_10_2012-11-30,792.6625999999998
1_11_2012-11-30,801.1389999999998
1_12_2012-11-30,797.4337999999999
1_13_2012-11-30,797.4337999999999
1_14_2012-11-30,801.9711999999998
1_16_2012-11-30,794.2157999999998
1_17_2012-11-30,791.2253999999998
1_18_2012-11-30,791.2253999999998
1_19_2012-11-30,788.2543999999997
1_20_2012-11-30,781.2511999999998
1_21_2012-11-30,776.0901999999999
1_22_2012-11-30,776.0901999999999
1_23_2012-11-30,778.0691999999997
1_24_2012-11-30,784.2697999999998
1_25_2012-11-30,783.5397999999997
1_26_2012-11-30,814.9657999999998
1_27_2012-11-30,818.8879999999999
1_28_2012-11-30,818.8879999999999
1_29_2012-11-30,818.8879999999999
1_30_2012-11-30,814.0167999999999
1_31_2012-11-30,814.0167999999999
1_32_2012-11-30,814.0167999999999
1_33_2012-11-30,814.0167999999999
1_34_2012-11-30,814.0167999999999
1_35_2012-11-30,814.0167999999999
1_36_2012-11-30,814.0167999999999
1_37_2012-11-30,814.0167999999999
1_38_2012-11-30,814.0167999999999
1_40_2012-11-30,814.0167999999999
1_41_2012-11-30,814.0167999999999
1_42_2012-11-30,814.0167999999999
1_44_2012-11-30,814.0167999999999
1_45_2012-11-30,814.0167999999999
1_46_2012-11-30,814.0167999999999
1_48_2012-11-30,814.0167999999999
1_49_2012-11-30,814.0167999999999
1_52_2012-11-30,814.0167999999999
1_54_2012-11-30,814.0167999999999
1_55_2012-11-30,814.0167999999999
1_56_2012-11-30,814.0167999999999
1_58_2012-11-30,814.0167999999999
1_59_2012-11-30,814.0167999999999
1_60_2012-11-30,814.0167999999999
1_67_2012-11-30,814.0167999999999
1_71_2012-11-30,814.0167999999999
1_72_2012-11-30,814.0167999999999
1_74_2012-11-30,814.0167999999999
1_79_2012-11-30,814.0167999999999
1_80_2012-11-30,814.0167999999999
1_81_2012-11-30,814.0167999999999
1_82_2012-11-30,814.0167999999999
1_83_2012-11-30,814.0167999999999
1_85_2012-11-30,814.0167999999999
1_87_2012-11-30,814.0167999999999
1_90_2012-11-30,814.0167999999999
1_91_2012-11-30,814.0167999999999
1_92_2012-11-30,814.0167999999999
1_93_2012-11-30,814.0167999999999
1_94_2012-11-30,814.0167999999999
1_95_2012-11-30,814.0167999999999
1_96_2012-11-30,814.0167999999999
1_97_2012-11-30,814.0167999999999
1_98_2012-11-30,814.0167999999999
1_99_2012-11-30,814.0167999999999
1_1_2012-12-07,5219.5308
1_2_2012-12-07,5219.5308
1_3_2012-12-07,5219.5308
1_4_2012-12-07,5252.379800000001
1_5_2012-12-07,5252.379800000001
1_6_2012-12-07,5252.379800000001
1_7_2012-12-07,5252.379800000001
1_8_2012-12-07,5252.379800000001
1_9_2012-12-07,5334.388000000002
1_10_2012-12-07,5334.388000000002
1_11_2012-12-07,5462.496800000002
1_12_2012-12-07,5462.496800000002
1_13_2012-12-07,5461.527800000002
1_14_2012-12-07,5461.527800000002
1_16_2012-12-07,5431.288200000002
1_17_2012-12-07,5431.288200000002
1_18_2012-12-07,5439.228200000001
1_19_2012-12-07,5439.228200000001
1_20_2012-12-07,5439.228200000001
1_21_2012-12-07,5439.228200000001
1_22_2012-12-07,5404.183600000001
1_23_2012-12-07,5404.183600000001
1_24_2012-12-07,5404.183600000001
1_25_2012-12-07,5305.194400000002
1_26_2012-12-07,5305.194400000002
1_27_2012-12-07,5305.194400000002
1_28_2012-12-07,5305.194400000002
1_29_2012-12-07,5305.194400000002
1_30_2012-12-07,5305.194400000002
1_31_2012-12-07,5305.194400000002
1_32_2012-12-07,5305.194400000002
1_33_2012-12-07,5305.194400000002
1_34_2012-12-07,5305.194400000002
1_35_2012-12-07,5305.194400000002
1_36_2012-12-07,5305.194400000002
1_37_2012-12-07,5305.194400000002
1_38_2012-12-07,5305.194400000002
1_40_2012-12-07,5305.194400000002
1_41_2012-12-07,5305.194400000002
1_42_2012-12-07,5305.194400000002
1_44_2012-12-07,5305.194400000002
1_45_2012-12-07,5305.194400000002
1_46_2012-12-07,5305.194400000002
1_48_2012-12-07,5305.194400000002
1_49_2012-12-07,5305.194400000002
1_52_2012-12-07,5305.194400000002
1_54_2012-12-07,5305.194400000002
1_55_2012-12-07,5305.194400000002
1_56_2012-12-07,5305.194400000002
1_58_2012-12-07,5305.194400000002
1_59_2012-12-07,5305.194400000002
1_60_2012-12-07,5305.194400000002
1_67_2012-12-07,5305.194400000002
1_71_2012-12-07,5305.194400000002
1_72_2012-12-07,5305.194400000002
1_74_2012-12-07,5305.194400000002
1_79_2012-12-07,5305.194400000002
1_80_2012-12-07,5305.194400000002
1_81_2012-12-07,5305.194400000002
1_82_2012-12-07,5305.194400000002
1_83_2012-12-07,5305.194400000002
1_85_2012-12-07,5305.194400000002
1_87_2012-12-07,5305.194400000002
1_90_2012-12-07,5305.194400000002
1_91_2012-12-07,5305.194400000002
1_92_2012-12-07,5305.194400000002
1_93_2012-12-07,5305.194400000002
1_94_2012-12-07,5305.194400000002
1_95_2012-12-07,5305.194400000002
1_96_2012-12-07,5305.194400000002
1_97_2012-12-07,5305.194400000002
1_98_2012-12-07,5305.194400000002
1_99_2012-12-07,5305.194400000002
1_1_2012-12-14,-8.8232
1_2_2012-12-14,-8.8232
1_3_2012-12-14,-8.8232
1_4_2012-12-14,-8.8232
1_5_2012-12-14,-10.577200000000003
1_6_2012-12-14,-10.458400000000001
1_7_2012-12-14,-10.458400000000001
1_8_2012-12-14,-8.585600000000001
1_9_2012-12-14,-8.585600000000001
1_10_2012-12-14,-8.585600000000001
1_11_2012-12-14,-8.585600000000001
1_12_2012-12-14,-8.5262
1_13_2012-12-14,-8.5262
1_14_2012-12-14,-8.5262
1_16_2012-12-14,-8.5262
1_17_2012-12-14,-8.5262
1_18_2012-12-14,-8.8862
1_19_2012-12-14,-8.8862
1_20_2012-12-14,-8.8862
1_21_2012-12-14,-8.8862
1_22_2012-12-14,-8.8862
1_23_2012-12-14,-8.8862
1_24_2012-12-14,-8.8862
1_25_2012-12-14,-8.8862
1_26_2012-12-14,-8.8862
1_27_2012-12-14,-8.8862
1_28_2012-12-14,-12.676799999999993
1_29_2012-12-14,-12.676799999999993
1_30_2012-12-14,-12.676799999999993
1_31_2012-12-14,-12.676799999999993
1_32_2012-12-14,-12.676799999999993
1_33_2012-12-14,-12.676799999999993
1_34_2012-12-14,-12.676799999999993
1_35_2012-12-14,-12.676799999999993
1_36_2012-12-14,-12.676799999999993
1_37_2012-12-14,-12.676799999999993
1_38_2012-12-14,-12.676799999999993
1_40_2012-12-14,-12.676799999999993
1_41_2012-12-14,-12.676799999999993
1_42_2012-12-14,-12.676799999999993
1_44_2012-12-14,-12.676799999999993
1_46_2012-12-14,-12.676799999999993
1_48_2012-12-14,-12.676799999999993
1_49_2012-12-14,-12.676799999999993
1_52_2012-12-14,-12.676799999999993
1_54_2012-12-14,-12.676799999999993
1_55_2012-12-14,-12.676799999999993
1_56_2012-12-14,-12.676799999999993
1_58_2012-12-14,-12.676799999999993
1_59_2012-12-14,-12.676799999999993
1_60_2012-12-14,-12.676799999999993
1_67_2012-12-14,-12.676799999999993
1_71_2012-12-14,-12.676799999999993
1_72_2012-12-14,-12.676799999999993
1_74_2012-12-14,-12.676799999999993
1_79_2012-12-14,-12.676799999999993
1_80_2012-12-14,-12.676799999999993
1_81_2012-12-14,-12.676799999999993
1_82_2012-12-14,-12.676799999999993
1_83_2012-12-14,-12.676799999999993
1_85_2012-12-14,-12.676799999999993
1_87_2012-12-14,-12.676799999999993
1_90_2012-12-14,-12.676799999999993
1_91_2012-12-14,-12.676799999999993
1_92_2012-12-14,-12.676799999999993
1_93_2012-12-14,-12.676799999999993
1_94_2012-12-14,-12.676799999999993
1_95_2012-12-14,-12.676799999999993
1_96_2012-12-14,-12.676799999999993
1_97_2012-12-14,-12.676799999999993
1_98_2012-12-14,-12.676799999999993
1_99_2012-12-14,-12.676799999999993
1_1_2012-12-21,294.11479999999995
1_2_2012-12-21,294.11479999999995
1_3_2012-12-21,294.11479999999995
1_4_2012-12-21,294.11479999999995
1_5_2012-12-21,294.11479999999995
1_6_2012-12-21,286.3245999999999
1_7_2012-12-21,292.55139999999994
1_8_2012-12-21,292.55139999999994
1_9_2012-12-21,292.55139999999994
1_10_2012-12-21,297.21599999999995
1_11_2012-12-21,298.3759999999999
1_12_2012-12-21,298.3759999999999
1_13_2012-12-21,301.03899999999993
1_14_2012-12-21,308.4781999999999
1_16_2012-12-21,308.4781999999999
1_17_2012-12-21,320.4031999999999
1_18_2012-12-21,343.4038
1_19_2012-12-21,343.4038
1_20_2012-12-21,343.4038
1_21_2012-12-21,349.6346
1_22_2012-12-21,353.94939999999997
1_23_2012-12-21,353.94939999999997
1_24_2012-12-21,357.3862
1_25_2012-12-21,450.9305999999997
1_26_2012-12-21,450.9305999999997
1_27_2012-12-21,450.9305999999997
1_28_2012-12-21,450.52979999999974
1_29_2012-12-21,450.52979999999974
1_30_2012-12-21,450.52979999999974
1_31_2012-12-21,450.52979999999974
1_32_2012-12-21,450.52979999999974
1_33_2012-12-21,450.52979999999974
1_34_2012-12-21,450.52979999999974
1_35_2012-12-21,450.52979999999974
1_36_2012-12-21,450.52979999999974
1_37_2012-12-21,450.52979999999974
1_38_2012-12-21,450.52979999999974
1_40_2012-12-21,450.52979999999974
1_41_2012-12-21,450.52979999999974
1_42_2012-12-21,450.52979999999974
1_44_2012-12-21,450.52979999999974
1_46_2012-12-21,450.52979999999974
1_47_2012-12-21,450.52979999999974
1_48_2012-12-21,450.52979999999974
1_49_2012-12-21,450.52979999999974
1_52_2012-12-21,450.52979999999974
1_54_2012-12-21,450.52979999999974
1_55_2012-12-21,450.52979999999974
1_56_2012-12-21,450.52979999999974
1_58_2012-12-21,450.52979999999974
1_59_2012-12-21,450.52979999999974
1_60_2012-12-21,450.52979999999974
1_67_2012-12-21,450.52979999999974
1_71_2012-12-21,450.52979999999974
1_72_2012-12-21,450.52979999999974
1_74_2012-12-21,450.52979999999974
1_79_2012-12-21,450.52979999999974
1_80_2012-12-21,450.52979999999974
1_81_2012-12-21,450.52979999999974
1_82_2012-12-21,450.52979999999974
1_83_2012-12-21,450.52979999999974
1_85_2012-12-21,450.52979999999974
1_87_2012-12-21,450.52979999999974
1_90_2012-12-21,450.52979999999974
1_91_2012-12-21,450.52979999999974
1_92_2012-12-21,450.52979999999974
1_93_2012-12-21,450.52979999999974
1_94_2012-12-21,450.52979999999974
1_95_2012-12-21,450.52979999999974
1_96_2012-12-21,450.52979999999974
1_97_2012-12-21,450.52979999999974
1_98_2012-12-21,450.52979999999974
1_99_2012-12-21,450.52979999999974
1_1_2012-12-28,41.2332
1_2_2012-12-28,41.2332
1_3_2012-12-28,41.3486
1_4_2012-12-28,41.3486
1_5_2012-12-28,41.318599999999996
1_6_2012-12-28,41.318599999999996
1_7_2012-12-28,40.87839999999999
1_8_2012-12-28,41.0278
1_9_2012-12-28,39.395
1_10_2012-12-28,39.395
1_11_2012-12-28,39.3356
1_12_2012-12-28,39.5856
1_13_2012-12-28,42.453
1_14_2012-12-28,42.453
1_16_2012-12-28,43.835800000000006
1_17_2012-12-28,43.5176
1_18_2012-12-28,48.7398
1_19_2012-12-28,48.7398
1_20_2012-12-28,48.7398
1_21_2012-12-28,49.159000000000006
1_22_2012-12-28,49.28840000000001
1_23_2012-12-28,49.28840000000001
1_24_2012-12-28,49.28840000000001
1_25_2012-12-28,48.215
1_26_2012-12-28,48.215
1_27_2012-12-28,49.1896
1_28_2012-12-28,48.7104
1_29_2012-12-28,52.312
1_30_2012-12-28,51.088
1_31_2012-12-28,51.088
1_32_2012-12-28,51.088
1_33_2012-12-28,51.088
1_34_2012-12-28,51.088
1_35_2012-12-28,51.088
1_36_2012-12-28,51.088
1_37_2012-12-28,51.088
1_38_2012-12-28,51.088
1_40_2012-12-28,51.088
1_41_2012-12-28,51.088
1_42_2012-12-28,51.088
1_44_2012-12-28,51.088
1_46_2012-12-28,51.088
1_48_2012-12-28,51.088
1_49_2012-12-28,51.088
1_52_2012-12-28,51.088
1_54_2012-12-28,51.088
1_55_2012-12-28,51.088
1_56_2012-12-28,51.088
1_58_2012-12-28,51.088
1_59_2012-12-28,51.088
1_60_2012-12-28,51.088
1_67_2012-12-28,51.088
1_71_2012-12-28,51.088
1_72_2012-12-28,51.088
1_74_2012-12-28,51.088
1_79_2012-12-28,51.088
1_80_2012-12-28,51.088
1_81_2012-12-28,51.088
1_82_2012-12-28,51.088
1_83_2012-12-28,51.088
1_85_2012-12-28,51.088
1_87_2012-12-28,51.088
1_90_2012-12-28,51.088
1_91_2012-12-28,51.088
1_92_2012-12-28,51.088
1_93_2012-12-28,51.088
1_94_2012-12-28,51.088
1_95_2012-12-28,51.088
1_96_2012-12-28,51.088
1_97_2012-12-28,51.088
1_98_2012-12-28,51.088
1_99_2012-12-28,51.088
1_1_2013-01-04,2940.081200000001
1_2_2013-01-04,2940.081200000001
1_3_2013-01-04,2940.081200000001
1_4_2013-01-04,2947.915400000001
1_5_2013-01-04,2960.717400000001
1_6_2013-01-04,2957.0228000000006
1_7_2013-01-04,2951.4292000000005
1_8_2013-01-04,2933.349
1_9_2013-01-04,2939.1350000000007
1_10_2013-01-04,2924.8854000000006
1_11_2013-01-04,2919.764600000001
1_12_2013-01-04,2919.764600000001
1_13_2013-01-04,2941.3122000000008
1_14_2013-01-04,2941.3122000000008
1_16_2013-01-04,2937.4580000000005
1_17_2013-01-04,2972.9178
1_18_2013-01-04,3025.650400000001
1_19_2013-01-04,3042.5280000000002
1_20_2013-01-04,3029.791600000001
1_21_2013-01-04,3029.791600000001
1_22_2013-01-04,3003.8470000000007
1_23_2013-01-04,2959.485200000001
1_24_2013-01-04,2895.0120000000006
1_25_2013-01-04,2878.4530000000004
1_26_2013-01-04,2849.862
1_27_2013-01-04,2782.510400000001
1_28_2013-01-04,2771.004200000001
1_29_2013-01-04,2771.004200000001
1_30_2013-01-04,2767.221800000001
1_31_2013-01-04,2768.255000000001
1_32_2013-01-04,2768.255000000001
1_33_2013-01-04,2768.255000000001
1_34_2013-01-04,2768.255000000001
1_35_2013-01-04,2768.255000000001
1_36_2013-01-04,2768.255000000001
1_37_2013-01-04,2768.255000000001
1_38_2013-01-04,2768.255000000001
1_40_2013-01-04,2768.255000000001
1_41_2013-01-04,2768.255000000001
1_42_2013-01-04,2768.255000000001
1_44_2013-01-04,2768.255000000001
1_46_2013-01-04,2768.255000000001
1_48_2013-01-04,2768.255000000001
1_49_2013-01-04,2768.255000000001
1_52_2013-01-04,2768.255000000001
1_54_2013-01-04,2768.255000000001
1_55_2013-01-04,2768.255000000001
1_56_2013-01-04,2768.255000000001
1_58_2013-01-04,2768.255000000001
1_59_2013-01-04,2768.255000000001
1_60_2013-01-04,2768.255000000001
1_67_2013-01-04,2768.255000000001
1_71_2013-01-04,2768.255000000001
1_72_2013-01-04,2768.255000000001
1_74_2013-01-04,2768.255000000001
1_79_2013-01-04,2768.255000000001
1_80_2013-01-04,2768.255000000001
1_81_2013-01-04,2768.255000000001
1_82_2013-01-04,2768.255000000001
1_83_2013-01-04,2768.255000000001
1_85_2013-01-04,2768.255000000001
1_87_2013-01-04,2768.255000000001
1_90_2013-01-04,2768.255000000001
1_91_2013-01-04,2768.255000000001
1_92_2013-01-04,2768.255000000001
1_93_2013-01-04,2768.255000000001
1_94_2013-01-04,2768.255000000001
1_95_2013-01-04,2768.255000000001
1_96_2013-01-04,2768.255000000001
1_97_2013-01-04,2768.255000000001
1_98_2013-01-04,2768.255000000001
1_1_2013-01-11,-4.333199999999998
1_2_2013-01-11,-4.333199999999998
1_3_2013-01-11,-4.333199999999998
1_4_2013-01-11,-4.333199999999998
1_5_2013-01-11,-4.735399999999997
1_6_2013-01-11,-4.735399999999997
1_7_2013-01-11,-4.735399999999997
1_8_2013-01-11,-4.1561999999999975
1_9_2013-01-11,-4.019399999999997
1_10_2013-01-11,-3.952199999999998
1_11_2013-01-11,-4.222199999999998
1_12_2013-01-11,-4.222199999999998
1_13_2013-01-11,-4.196999999999998
1_14_2013-01-11,-4.196999999999998
1_16_2013-01-11,-4.196999999999998
1_17_2013-01-11,-4.158999999999999
1_18_2013-01-11,-5.477399999999998
1_19_2013-01-11,-5.6141999999999985
1_20_2013-01-11,-5.6141999999999985
1_21_2013-01-11,-6.260599999999999
1_22_2013-01-11,-6.457000000000001
1_23_2013-01-11,-6.630599999999999
1_24_2013-01-11,-6.630599999999999
1_25_2013-01-11,-6.860199999999996
1_26_2013-01-11,-6.860199999999996
1_27_2013-01-11,-6.860199999999996
1_28_2013-01-11,-6.893799999999996
1_29_2013-01-11,-6.945799999999996
1_30_2013-01-11,-6.945799999999996
1_31_2013-01-11,-6.945799999999996
1_32_2013-01-11,-6.945799999999996
1_33_2013-01-11,-6.945799999999996
1_34_2013-01-11,-6.945799999999996
1_35_2013-01-11,-6.945799999999996
1_36_2013-01-11,-6.945799999999996
1_37_2013-01-11,-6.945799999999996
1_38_2013-01-11,-6.945799999999996
1_40_2013-01-11,-6.945799999999996
1_41_2013-01-11,-6.945799999999996
1_42_2013-01-11,-6.945799999999996
1_44_2013-01-11,-6.945799999999996
1_46_2013-01-11,-6.945799999999996
1_48_2013-01-11,-6.945799999999996
1_49_2013-01-11,-6.945799999999996
1_52_2013-01-11,-6.945799999999996
1_55_2013-01-11,-6.945799999999996
1_56_2013-01-11,-6.945799999999996
